iter	MultiClass
0	1.515061895
1	1.428604465
2	1.353589284
3	1.302941843
4	1.223181335
5	1.165390234
6	1.105398236
7	1.053433869
8	1.010239915
9	0.9596518674
10	0.9104884745
11	0.8695793998
12	0.836549437
13	0.8033167443
14	0.7751073853
15	0.7454017757
16	0.7138305231
17	0.6850999106
18	0.6555421484
19	0.6332280006
20	0.6104653146
21	0.5855008539
22	0.5604058924
23	0.5406093547
24	0.5275337451
25	0.5110047231
26	0.4937748873
27	0.4766606959
28	0.4572477624
29	0.4429098467
30	0.4271174851
31	0.4145743094
32	0.403451788
33	0.3900466327
34	0.3783173394
35	0.3685928936
36	0.3576237945
37	0.3467106414
38	0.3376767892
39	0.3309192059
40	0.3223924476
41	0.3136024737
42	0.307054011
43	0.3016648152
44	0.2941364935
45	0.2883883657
46	0.2824933453
47	0.2770043199
48	0.2713655053
49	0.264538184
50	0.25978045
51	0.254026919
52	0.2498197042
53	0.2443484936
54	0.2393143294
55	0.2335215915
56	0.2302775449
57	0.2247441678
58	0.2207297089
59	0.2157210482
60	0.2092337771
61	0.2056023876
62	0.2010715678
63	0.198488415
64	0.1955140867
65	0.1911681595
66	0.1871646915
67	0.1834180741
68	0.1801339503
69	0.1763447516
70	0.1730537771
71	0.170654406
72	0.1670387672
73	0.1644911606
74	0.1604761694
75	0.1574063918
76	0.1544000901
77	0.1520048365
78	0.1496626834
79	0.1469883687
80	0.144140215
81	0.1418610383
82	0.1395416115
83	0.136785928
84	0.1342217119
85	0.1320653736
86	0.1297303625
87	0.1277840996
88	0.1257733405
89	0.1240765766
90	0.1222299579
91	0.1202391417
92	0.1181663668
93	0.1169510925
94	0.1149837203
95	0.1134673024
96	0.111892377
97	0.1101740872
98	0.1084256894
99	0.1065954026
100	0.1055596096
101	0.1042154499
102	0.1028313985
103	0.1011508282
104	0.09963279008
105	0.0983988953
106	0.09716171381
107	0.0959847515
108	0.09483940269
109	0.09372681344
110	0.09263724938
111	0.09153728275
112	0.09019140627
113	0.08897478074
114	0.08801967324
115	0.08696650612
116	0.08578556164
117	0.08482751469
118	0.08393796581
119	0.08306031584
120	0.08204341935
121	0.08120563653
122	0.08016937879
123	0.07918778827
124	0.07833283052
125	0.07748288679
126	0.07670409335
127	0.07595780705
128	0.07519037458
129	0.07444549962
130	0.0737072325
131	0.07293886161
132	0.0720637902
133	0.07139669678
134	0.07071900494
135	0.07007162256
136	0.06937976254
137	0.06873728229
138	0.06810762854
139	0.067505534
140	0.06689703866
141	0.06629689281
142	0.06567874196
143	0.06500386718
144	0.06430561141
145	0.06376395149
146	0.06322464771
147	0.06265725614
148	0.06213820077
149	0.06162044363
150	0.06109354694
151	0.06059986083
152	0.06011377224
153	0.05956624319
154	0.05908416978
155	0.05862046867
156	0.05803309404
157	0.05746967144
158	0.05692866002
159	0.05638587699
160	0.05596070954
161	0.05550465239
162	0.0551238674
163	0.05461997418
164	0.05420118036
165	0.05375867264
166	0.05324990887
167	0.05284879269
168	0.05240470465
169	0.05200201013
170	0.05153816044
171	0.05117763194
172	0.05085090338
173	0.05047037886
174	0.05011718336
175	0.04974871808
176	0.04931359029
177	0.04897294382
178	0.04859202908
179	0.04826279271
180	0.04794334385
